发票名称,机器编号,发票代码,发票号码,开票日期,校验码,购买方名称,购买方纳税人识别号,购买方地址、电话,购买方开户行及账号,销售方名称,销售方纳税人识别号,销售方地址、电话,销售方开户行及账号,项目名称,车牌号,类型,通行日期起,通行日期止,金额,税率,税额,价税合计（大写）,价税合计（小写）,收款人,复核,开票人
广东增值税电子普通发票,499099653583,044001700112,47153800,2018年03月23日,09415114643911023305,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,现代投资股份有限公司,914401016184818383,广州市白云区太和镇和龙水库118号020-87421728,工行广州庙前直街支行3602001009003899172,*经营租赁*通行费,鄂AHG248,货车,20180202,20180209,500W级别交易,3.00%,6.64,贰佰贰拾柒元玖角,￥227.90,张惠,苏馥蕊,张惠
广东增值税电子普通发票,499098894641,044001700112,47153800,2018年03月23日,07277542713402041348,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,现代投资股份有限公司,914401016813143034,广州市越秀区白云路83号1208020-36892170,中国建设银行广东省分行营业部44001863201053003583,*经营租赁*通行费,鄂AHG248,货车,20180211,20180211,2000W级别交易,3.00%,0.56,壹拾玖元零柒分,￥19.07,纪思涵,梁爱涛,朱家礼
广东增值税电子普通发票,499098891512,044001700112,47153800,2018年03月23日,05160031932430170487,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,现代投资股份有限公司,914401017163267949,广州市越秀区东风中路318号嘉业大厦14楼020-36359909,农业银行广州北秀支行036001040001717,*经营租赁*通行费,鄂AHG248,货车,20180202,20180203,100W级别交易,3.00%,0.95,叁拾贰元伍角捌分,￥32.58,林丹霞,林丹霞,王静
广东增值税电子普通发票,499098892970,044001700112,47153800,2018年03月23日,13610032493225906141,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,现代投资股份有限公司,91440106556656312W,广州市天河区天润路445-459号301房自编01号房0763-4620286,工商银行佛冈县支行2018022109200118825,*经营租赁*通行费,鄂AHG248,货车,20180202,20180202,8000W级别交易,3.00%,1.54,伍拾贰元柒角肆分,￥52.74,吴珊,吴珊,罗煜琳
广东增值税电子普通发票,499098890376,044001700112,47153800,2018年03月23日,18152402194137637371,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,现代投资股份有限公司,91440114755593481G,广州市花都区107国道广花高速公路新华收费站出口东侧020-36871111,中国建设银行广州花都支行44001551501059000092,*经营租赁*通行费,鄂AHG248,货车,20180202,20180209,8000W级别交易,3.00%,1.09,叁拾柒元伍角壹分,￥37.51,宋玉新,甘雨,郭之卉
广东增值税电子普通发票,499099655458,044001700112,47153800,2018年03月23日,12170444432639147551,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91440116751950621F,广州中新广州知识城凤凰三路17号自编五栋304室020-34751888,中国工商银行广州天河支行3602013409200222211,*经营租赁*通行费,鄂AHG248,货车,20180202,20180202,8000W级别交易,3.00%,0.51,壹拾柒元叁角肆分,￥17.34,黎艳芳,黎艳芳,黄大吉
广东增值税电子普通发票,499099653284,044001700112,47153800,2018年03月23日,01719212105817985192,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,914401837519573212,广州市增城区荔城街北三环高速管理中心020-82669688,建行增城碧桂园分理处44001609552053000842,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,8000W级别交易,3.00%,0.75,贰拾伍元陆角陆分,￥25.66,戎妙珠,戎妙珠,张虎
广东增值税电子普通发票,499099655600,044001700112,47153800,2018年03月23日,08827458019817618492,现代投资股份有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91440183784876229K,广州市增城区永宁街香山大道2号0769-81296666,建设银行广州华景支行44001580516059666666,*经营租赁*通行费,鄂AHG248,货车,20180202,20180202,8000W级别交易,3.00%,1.02,叁拾肆元玖角贰分,￥34.92,邓柳燕,邓柳燕,钱海
广东增值税电子普通发票,499098892347,044001719112,47153800,2018年03月23日,10381866457825785395,现代投资股份有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91440232747094658A,乳源县东坪镇东田0751-5221288,建设银行乳源县支行44001627737050096962,*经营租赁*通行费,鄂AHG248,货车,20180202,20180211,8000W级别交易,3.00%,0.69,贰拾叁元伍角叁分,￥23.53,欧阳旭珠,朱晶晶,周莉萍
广东增值税电子普通发票,499098890819,044001709112,47153800,2018年03月23日,13139987529386485607,现代投资股份有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91441300456660525K,广东惠州市古塘坳白云前0752-2677567,中国建设银行惠州市上排支行44001718139053000460,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,0.41,壹拾肆元零柒分,￥14.07,黎晓梅,陈丽鸿,黎晓梅
广东增值税电子普通发票,499099662033,044001700112,47153800,2018年03月23日,06397214072807234709,现代投资股份有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91441300725965416H,广东省惠州市惠城区小金口街道小金口镇四角楼河惠高速管理中心0752-6122993,中国工商银行惠州市工行小金支行2008022619200002108,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,4.16,壹佰肆拾贰元陆角陆分,￥142.66,陈果,叶玉娟,陈果
广东增值税电子普通发票,499098891951,044001709112,47153800,2018年03月23日,11955961629009062357,现代投资股份有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,914413037693471423,惠阳区镇隆镇景湖住宅小区二楼13928318325,中国建设银行惠州横江三路支行44001718140059899668,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,2.99,壹佰零贰元伍角贰分,￥102.52,钟小柳,钟小柳,钟丹凤
广东增值税电子普通发票,499099655503,044001711112,47153800,2018年03月23日,17866792090175297885,现代投资股份有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91441900281884489H,东莞市东城区莞樟大道55号0769-28091661,中国工商银行东莞市分行2010021309024926208,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,1.63,伍拾陆元零壹分,￥56.01,张玉珊,张玉珊,刘敏玲
广东增值税电子普通发票,499098891686,044001711112,47153800,2018年03月23日,06834913840024355085,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91441900617431353K,广东省东莞市南城区科技工业园科技路39号0769-83280401,工商银行东莞分行营业部2010021319024961928,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,1.86,陆拾叁元柒角肆分,￥63.74,黄伟良,吴晓筠,李玉娥
广东增值税电子普通发票,499099662201,044001711112,47153800,2018年03月23日,06900265555805556595,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,山东高速集团有限公司电子收费中心,91441900771856974B,东莞市东城区莞樟大道55号0769-28091660,建行东莞市分行44001778808053000410,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,1.03,叁拾伍元肆角叁分,￥35.43,孙艳,孙艳,吴峰
江西增值税电子普通发票,499098906112,036001700112,47153800,2018年03月23日,08204989498324515730,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91360700716538391N,赣州市红旗大道60号0797-8289833,中国工商银行赣州市章江支行1510221009022166665,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,8.88,叁佰零伍元整,￥305.00,夏韶婕,肖燕,侯克刚
江西增值税电子普通发票,499098906112,036001700112,47153800,2018年03月23日,08204989498324515730,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91360700716538391N,赣州市红旗大道60号0797-8289833,中国工商银行赣州市章江支行1510221009022166665,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,100W级别交易,3.00%,8.88,叁佰零伍元整,￥305.00,夏韶婕,肖燕,侯克刚
江西增值税电子普通发票,499099661153,036001700112,47153800,2018年03月23日,12927690393569329018,湖南道岳高速公路实业有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91360800754203787W,江西省吉安市吉州区城南昌泰高速公路吉安南收费所0791-86132607,建行吉安市分行36001451010050004195,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,2.94,壹佰零壹元整,￥101.00,蔡莉莉,邓丽萍,邓自远
湖北增值税电子普通发票,499098892081,042001700112,47153800,2018年03月23日,11241636206802490280,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91420000722084584J,武汉市洪山区珞瑜路1077号027-87576666,建设银行武汉汉口支行42001865108050003000,*经营租赁*通行费,鄂AHG248,货车,20180212,20180212,2000W级别交易,3.00%,5.54,壹佰玖拾元零壹角玖分,￥190.19,强晓琦,李银俊,曹佳培
湖北增值税电子普通发票,499099660821,042001700112,47153800,2018年03月23日,12636666022332927910,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91420000753416406R,武汉市经济开发区17C1地块东合中心B栋1601号027-83458755,民生银行武汉沌口支行0514014170001889,*经营租赁*通行费,鄂AHG248,货车,20180212,20180212,2000W级别交易,3.00%,8.59,贰佰玖拾肆元捌角贰分,￥294.82,龙梦媱,陈煜,尹晨
湖北增值税电子普通发票,499098911093,042001700112,47153800,2018年03月23日,11753239368958298076,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91420100581839321E,武汉经济技术开发区1C地块创业路10号18062618059,建行武汉江岸支行42001116208053013223,*经营租赁*通行费,鄂AHG248,货车,20180201,20180208,500W级别交易,3.00%,11.48,叁佰玖拾肆元贰角肆分,￥394.24,董霖,董霖,唐毅
湖北增值税电子普通发票,499099656098,042001700112,47153800,2018年03月23日,16167883775201694087,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,91420112792429656B,湖北省武汉市汉阳区永丰街汉蔡高速公路1号027-69608002,工商银行江汉二桥支行3202005309200035729,*经营租赁*通行费,鄂AHG248,货车,20180212,20180212,500W级别交易,3.00%,3.74,壹佰贰拾捌元伍角肆分,￥128.54,王国平,徐黄裔,徐黄裔
湖北增值税电子普通发票,499098892726,042001700112,47153800,2018年03月23日,17912771164864567783,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北阿深南高速公路发展有限公司,9142122256546921XD,通城县五里镇五里大道168号0715-8909055,中国建设银行通城支行营业部42001696308059000006,*经营租赁*通行费,鄂AHG248,货车,20180204,20180204,500W级别交易,3.00%,2.12,柒拾贰元陆角玖分,￥72.69,孔淳晖,杨宁利,徐金金
广东增值税电子普通发票,499098890827,044001700112,47153800,2018年03月23日,17248100991537201542,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖北中交嘉通高速公路发展有限公司,9144010169693015XH,广州市越秀区白云路83号1501室0763-3286088,中国建设银行广东省分行营业部44001863201053008610,*经营租赁*通行费,鄂AHG248,货车,20180202,20180211,2000W级别交易,3.00%,47.91,壹仟陆佰肆拾肆元柒角捌分,￥1644.78,刘首雁,刘首雁,李瑞翀
广东增值税电子普通发票,499098891627,044001721112,47153800,2018年03月23日,06775424551826339304,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,哈尔滨告诉公司,91441602MA4UKWEU2P,广东河源市源城区源南镇双下村高速公路管理中心0762-3685136,中国建设银行河源分行营业部44050174830100000048,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,2000W级别交易,3.00%,7.06,贰佰肆拾贰元肆角陆分,￥242.46,刘欢,刘欢,张华袖
